id,sex,age,bronze,silver,gold,platinum,paid,employed,number_people,income,married,tobacco,city,state,lat,lng
60010,1,23,25.65,50.15,85.65,133.4,50.15,1,1,200000,1,1,Salem,Oregon,44.93326,-123.04381
61010,1,24,27.5,54.5,92.5,144.0,92.5,1,2,100000,1,1,Sioux City,Iowa,42.49981,-96.42094
62010,1,21,31.15,60.65,101.15,156.4,101.15,1,3,300000,0,1,Nampa,Idaho,43.58263,-116.56962
63010,1,22,28.15,57.65,98.15,153.4,57.65,1,3,200000,0,1,Mazeppa,Minnesota,44.27081,-92.54516
64010,1,24,29.9,56.9,94.9,146.4,56.9,1,2,300000,0,1,Gila Bend,Arizona,32.9474,-112.71663
65010,1,22,29.4,61.4,104.4,163.4,61.4,1,4,200000,0,1,Sacramento,California,38.57933,-121.4909
66010,1,20,27.9,52.9,87.9,135.4,135.4,1,2,700000,1,1,Evanston,Wyoming,41.26748,-110.96397
67010,1,21,28.65,53.15,88.65,136.4,88.65,1,1,100000,0,1,Milwaukee,Wisconsin,43.042,-87.90687
68010,1,22,25.65,50.15,85.65,133.4,85.65,1,1,200000,1,1,Rogerson,Idaho,42.218,-114.59451
69010,1,20,23.65,46.15,78.65,122.4,78.65,1,1,300000,1,1,Young America,Minnesota,44.78362,-93.91502
70011,0,25,28.15,57.65,98.15,153.4,57.65,1,3,300000,0,1,Menlo,Washington,46.62576,-123.64993
71011,0,18,27.4,57.4,97.4,152.4,57.4,1,4,100000,0,1,Stockton,California,37.95367,-121.29075
72011,0,23,25.65,50.15,85.65,133.4,85.65,0,1,700000,1,1,Eugene,Oregon,44.04992,-123.08854
73011,0,22,26.25,50.75,86.25,134.0,86.25,1,1,200000,0,1,Kaktovik,Alaska,70.12723,-143.61245
74011,0,18,40.9,65.9,100.9,148.4,65.9,1,2,200000,0,1,Hanford,California,36.32717,-119.64583
75011,0,27,34.75,63.25,104.75,160.5,104.75,1,1,100000,0,1,Frontenac,Minnesota,44.52676,-92.33006
76011,0,27,34.25,67.75,114.25,177.5,67.75,0,3,100000,1,1,Minneapolis,Minnesota,44.97902,-93.26494
77011,0,28,31.75,60.25,101.75,157.5,157.5,1,1,200000,1,1,Marlin,Washington,47.40704,-118.9851
78011,0,27,52.0,83.0,127.0,186.5,52.0,1,2,300000,0,1,Phoenix,Arizona,33.44825,-112.0758
79011,0,27,31.75,60.25,101.75,157.5,60.25,1,1,300000,1,1,Visalia,California,36.33377,-119.29291
80013,0,27,47.75,76.25,117.75,173.5,47.75,1,1,700000,0,1,Sacramento,California,38.57933,-121.4909
81013,0,27,50.75,79.25,120.75,176.5,120.75,1,1,100000,1,1,Power,Montana,47.7123,-111.68728
82013,0,29,34.25,67.75,114.25,177.5,67.75,0,3,900000,0,1,Pagosa Springs,Colorado,37.26758,-107.01009
83013,0,27,54.5,90.5,139.5,206.5,90.5,1,4,700000,1,1,Dorchester,Iowa,43.4697,-91.5021
84013,0,26,31.75,60.25,101.75,157.5,60.25,1,1,200000,0,1,Hanford,California,36.32717,-119.64583
85013,0,26,47.75,76.25,117.75,173.5,76.25,1,1,200000,1,1,Olympia,Washington,47.03923,-122.89136
86013,0,26,34.75,63.25,104.75,160.5,34.75,1,1,100000,1,1,Juneau,Alaska,58.29973,-134.40679
87013,0,28,51.5,87.5,136.5,203.5,136.5,1,4,200000,0,1,Fort Collins,Colorado,40.58147,-105.07626
88013,0,28,50.75,79.25,120.75,176.5,120.75,1,1,500000,1,1,Nikolski,Alaska,52.93892,-168.8678
89013,0,28,37.25,70.75,117.25,180.5,37.25,1,3,100000,1,1,Chamberlain,South Dakota,43.81133,-99.33002
90014,1,26,31.75,60.25,101.75,157.5,60.25,0,1,200000,1,1,Las Vegas,Nevada,36.17191,-115.13997
91014,1,26,33.0,64.0,108.0,167.5,64.0,1,2,200000,1,1,Young America,Minnesota,44.78362,-93.91502
92014,1,27,50.25,83.75,130.25,193.5,83.75,1,3,300000,1,1,Los Angeles,California,34.05349,-118.24532
93014,1,28,37.25,70.75,117.25,180.5,117.25,1,3,100000,0,1,Moscow,Idaho,46.73235,-117.00038
94014,1,27,33.0,64.0,108.0,167.5,33.0,1,2,200000,1,1,Wenatchee,Washington,47.41473,-120.30512
95014,1,27,36.0,67.0,111.0,170.5,67.0,1,2,200000,1,1,Bozeman,Montana,45.67934,-111.03222
96014,1,27,31.75,60.25,101.75,157.5,101.75,0,1,400000,1,1,Otis,Oregon,45.01991,-123.96786
97014,1,28,54.5,90.5,139.5,206.5,139.5,1,4,300000,1,1,Oakley,Idaho,42.24399,-113.88201
98014,1,28,46.25,74.75,116.25,172.0,46.25,1,1,200000,0,1,Wakpala,South Dakota,45.74724,-100.47971
99014,1,29,49.0,80.0,124.0,183.5,49.0,1,2,700000,1,1,Eureka,California,40.80327,-124.15953
100014,1,26,31.75,60.25,101.75,157.5,101.75,1,1,100000,0,1,Mankato,Minnesota,44.1674,-94.00241
101014,1,26,53.25,86.75,133.25,196.5,86.75,1,3,300000,0,1,Sutherland,Iowa,42.96803,-95.49689
102014,1,27,31.75,60.25,101.75,157.5,60.25,1,1,300000,1,1,Brewster,Minnesota,43.70015,-95.47075
103014,1,29,37.25,70.75,117.25,180.5,117.25,1,3,200000,0,1,Cedar Rapids,Iowa,41.97634,-91.67376
104014,1,26,35.5,71.5,120.5,187.5,71.5,1,4,700000,0,1,Duluth,Minnesota,46.78796,-92.09985
105014,1,28,27.25,55.75,97.25,153.0,55.75,1,1,200000,0,1,Naturita,Colorado,38.21716,-108.56893
106014,1,28,51.5,87.5,136.5,203.5,87.5,1,4,500000,0,1,Ventura,California,34.28082,-119.29232
107014,1,27,50.25,83.75,130.25,193.5,130.25,1,3,100000,1,1,Santa Fe,New Mexico,35.69168,-105.93796
108014,1,29,30.25,58.75,100.25,156.0,58.75,1,1,100000,0,1,Kingman,Arizona,35.18885,-114.05568
109014,1,28,34.25,67.75,114.25,177.5,67.75,1,3,300000,1,1,San Jose,California,37.33865,-121.88542
110015,0,29,34.75,63.25,104.75,160.5,104.75,1,1,300000,0,1,Dorchester,Iowa,43.4697,-91.5021
111015,0,27,52.0,83.0,127.0,186.5,186.5,1,2,100000,0,1,Marenisco,Michigan,46.38157,-89.69572
112015,0,29,43.25,71.75,113.25,169.0,71.75,1,1,100000,1,1,Wenatchee,Washington,47.41473,-120.30512
113015,0,26,47.75,76.25,117.75,173.5,117.75,0,1,300000,0,1,Mankato,Minnesota,44.1674,-94.00241
114015,0,26,47.75,76.25,117.75,173.5,117.75,1,1,100000,0,1,San Diego,California,32.71568,-117.16171
115015,0,28,34.75,63.25,104.75,160.5,34.75,1,1,200000,1,1,Sturgeon Bay,Wisconsin,44.83519,-87.37043
116015,0,26,50.25,83.75,130.25,193.5,83.75,1,3,200000,0,1,Los Angeles,California,34.05349,-118.24532
117015,0,27,33.0,64.0,108.0,167.5,108.0,1,2,100000,0,1,Mazeppa,Minnesota,44.27081,-92.54516
118015,0,27,36.0,67.0,111.0,170.5,67.0,1,2,100000,1,1,Missoula,Montana,46.87278,-113.99625
119015,0,28,47.75,76.25,117.75,173.5,117.75,1,1,300000,1,1,Fargo,North Dakota,46.87591,-96.78176
120016,1,26,37.25,70.75,117.25,180.5,70.75,1,3,300000,0,1,Vernal,Utah,40.45572,-109.52884
121016,1,28,31.75,60.25,101.75,157.5,60.25,1,1,300000,0,1,Pagosa Springs,Colorado,37.26758,-107.01009
122016,1,26,33.0,64.0,108.0,167.5,64.0,1,2,500000,0,1,Fresno,California,36.74066,-119.78576
123016,1,26,37.25,70.75,117.25,180.5,70.75,1,3,400000,1,1,Defiance,Iowa,41.82349,-95.34422
124016,1,29,52.0,83.0,127.0,186.5,83.0,1,2,200000,1,1,Phoenix,Arizona,33.44825,-112.0758
125016,1,27,31.75,60.25,101.75,157.5,101.75,1,1,100000,1,1,Riverside,California,33.98171,-117.37404
126016,1,28,50.75,79.25,120.75,176.5,79.25,1,1,100000,1,1,Milwaukee,Wisconsin,43.042,-87.90687
127016,1,27,34.75,63.25,104.75,160.5,34.75,1,1,200000,1,1,Minneapolis,Minnesota,44.97902,-93.26494
128016,1,28,38.5,74.5,123.5,190.5,74.5,1,4,100000,1,1,Sioux Falls,South Dakota,43.54577,-96.73128
129016,1,27,34.25,67.75,114.25,177.5,34.25,1,3,200000,1,1,Mazeppa,Minnesota,44.27081,-92.54516
130017,0,27,50.25,83.75,130.25,193.5,83.75,0,3,100000,1,1,Cleveland,New Mexico,36.02206,-105.38239
131018,1,26,47.75,76.25,117.75,173.5,76.25,1,1,100000,0,1,Enders,Nebraska,40.45515,-101.53331
132018,1,28,27.25,55.75,97.25,153.0,55.75,1,1,300000,0,1,Rochester,Minnesota,44.01932,-92.45942
133018,1,27,27.25,55.75,97.25,153.0,97.25,1,1,100000,0,1,Los Angeles,California,34.05349,-118.24532
134018,1,26,34.75,63.25,104.75,160.5,104.75,1,1,200000,1,1,False Pass,Alaska,54.85148,-163.41283
135018,1,28,31.75,60.25,101.75,157.5,31.75,1,1,300000,1,1,Coos Bay,Oregon,43.36795,-124.21964
136018,1,27,36.0,67.0,111.0,170.5,67.0,1,2,400000,0,1,El Paso,Texas,31.75916,-106.48749
137018,1,28,50.75,79.25,120.75,176.5,120.75,1,1,200000,1,1,Gillette,Wyoming,44.29318,-105.50476
138018,1,29,33.0,64.0,108.0,167.5,108.0,1,2,100000,0,1,San Jose,California,37.33865,-121.88542
139018,1,27,51.5,87.5,136.5,203.5,136.5,0,4,100000,1,1,Denver,Colorado,39.74001,-104.99202
140019,0,28,28.5,59.5,103.5,163.0,163.0,1,2,700000,1,1,Kelseyville,California,38.97695,-122.83391
141019,0,27,31.75,60.25,101.75,157.5,101.75,1,1,400000,1,1,Ventura,California,34.28082,-119.29232
142020,1,27,50.75,79.25,120.75,176.5,176.5,1,1,300000,0,1,Sioux City,Iowa,42.49981,-96.42094
143020,1,27,34.75,63.25,104.75,160.5,160.5,1,1,100000,1,1,Pinedale,Wyoming,42.86661,-109.86426
144020,1,28,30.25,58.75,100.25,156.0,30.25,0,1,400000,1,1,Tower City,North Dakota,46.92005,-97.67699
145020,1,27,50.75,79.25,120.75,176.5,176.5,0,1,800000,1,1,Pinedale,Wyoming,42.86661,-109.86426
146020,1,28,31.75,60.25,101.75,157.5,31.75,1,1,100000,1,1,Mazeppa,Minnesota,44.27081,-92.54516
147020,1,27,29.75,63.25,109.75,173.0,109.75,1,3,200000,0,1,Denver,Colorado,39.74001,-104.99202
148020,1,28,31.75,60.25,101.75,157.5,31.75,1,1,100000,1,1,San Diego,California,32.71568,-117.16171
149020,1,26,47.75,76.25,117.75,173.5,76.25,1,1,200000,0,1,Susanville,California,40.41567,-120.64972
150021,0,28,34.25,67.75,114.25,177.5,67.75,1,3,300000,1,1,Eugene,Oregon,44.04992,-123.08854
151022,1,26,36.0,67.0,111.0,170.5,36.0,1,2,200000,1,1,Provo,Utah,40.2337,-111.6685
152022,1,29,31.75,60.25,101.75,157.5,101.75,1,1,1000000,1,1,Honolulu,Hawaii,21.30493,-157.85788
153022,1,28,44.5,75.5,119.5,179.0,75.5,1,2,200000,1,1,Fallon,Nevada,39.47491,-118.77797
154022,1,27,50.25,83.75,130.25,193.5,193.5,1,3,200000,0,1,Sacramento,California,38.57933,-121.4909
155022,1,28,31.75,60.25,101.75,157.5,157.5,1,1,300000,1,1,San Francisco,California,37.77712,-122.41964
156022,1,27,34.75,63.25,104.75,160.5,63.25,1,1,100000,1,1,Phoenix,Arizona,33.44825,-112.0758
157022,1,26,34.25,67.75,114.25,177.5,114.25,1,3,300000,1,1,Denver,Colorado,39.74001,-104.99202
158022,1,26,34.75,63.25,104.75,160.5,104.75,1,1,200000,1,1,El Paso,Texas,31.75916,-106.48749
159022,1,29,47.75,76.25,117.75,173.5,117.75,1,1,100000,1,1,Sacramento,California,38.57933,-121.4909
160023,0,27,34.75,63.25,104.75,160.5,63.25,1,1,200000,0,1,Sutherland,Iowa,42.96803,-95.49689
161023,0,27,50.25,83.75,130.25,193.5,83.75,1,3,300000,1,1,San Francisco,California,37.77712,-122.41964
162023,0,26,31.75,60.25,101.75,157.5,60.25,1,1,300000,0,1,Los Angeles,California,34.05349,-118.24532
163023,0,28,31.5,62.5,106.5,166.0,106.5,1,2,300000,1,1,Arapahoe,Wyoming,42.98301,-108.54147
164023,0,26,36.0,67.0,111.0,170.5,111.0,1,2,100000,0,1,Green Bay,Wisconsin,44.513,-88.01001
165023,0,28,53.25,86.75,133.25,196.5,53.25,1,3,100000,0,1,Davenport,Iowa,41.53826,-90.57602
166023,0,28,34.75,63.25,104.75,160.5,63.25,1,1,100000,1,1,El Paso,Texas,31.75916,-106.48749
167023,0,29,52.0,83.0,127.0,186.5,52.0,1,2,100000,1,1,Green Bay,Wisconsin,44.513,-88.01001
168023,0,26,51.5,87.5,136.5,203.5,51.5,1,4,500000,0,1,Fergus Falls,Minnesota,46.27862,-96.07239
169023,0,27,31.75,60.25,101.75,157.5,157.5,1,1,200000,0,1,Ridgecrest,California,35.62248,-117.66807
170024,1,28,37.25,70.75,117.25,180.5,70.75,1,3,100000,1,1,Frontenac,Minnesota,44.52676,-92.33006
171024,1,26,50.75,79.25,120.75,176.5,50.75,1,1,500000,0,1,Billings,Montana,45.78397,-108.50579
172024,1,27,47.75,76.25,117.75,173.5,47.75,1,1,100000,0,1,Carson City,Nevada,39.16488,-119.76697
173024,1,27,34.75,63.25,104.75,160.5,104.75,1,1,500000,1,1,Phoenix,Arizona,33.44825,-112.0758
174024,1,27,50.75,79.25,120.75,176.5,79.25,1,1,100000,0,1,Logan,Utah,41.73691,-111.83482
175024,1,27,47.75,76.25,117.75,173.5,47.75,1,1,200000,1,1,Young America,Minnesota,44.78362,-93.91502
176024,1,26,50.75,79.25,120.75,176.5,120.75,1,1,100000,1,1,Defiance,Iowa,41.82349,-95.34422
177025,0,28,33.0,64.0,108.0,167.5,167.5,1,2,1000000,1,1,Hartline,Washington,47.69015,-119.10557
178025,0,26,27.25,55.75,97.25,153.0,27.25,1,1,200000,0,1,Visalia,California,36.33377,-119.29291
179025,0,26,31.75,60.25,101.75,157.5,101.75,1,1,200000,1,1,Otis,Oregon,45.01991,-123.96786
180026,1,27,50.75,79.25,120.75,176.5,176.5,1,1,200000,1,1,Pocatello,Idaho,42.87474,-112.45057
181026,1,27,33.0,64.0,108.0,167.5,64.0,1,2,100000,0,1,Naselle,Washington,46.36545,-123.81154
182026,1,26,47.75,76.25,117.75,173.5,117.75,1,1,300000,1,1,Los Angeles,California,34.05349,-118.24532
183026,1,28,53.25,86.75,133.25,196.5,133.25,1,3,100000,0,1,Wahpeton,North Dakota,46.26393,-96.60471
184026,1,28,50.75,79.25,120.75,176.5,50.75,1,1,100000,1,1,Garden City,Iowa,42.24547,-93.39548
185026,1,27,34.75,63.25,104.75,160.5,104.75,1,1,100000,0,1,Souris,North Dakota,48.90972,-100.6809
186026,1,26,51.5,87.5,136.5,203.5,136.5,0,4,300000,0,1,Max,Minnesota,47.62174,-94.06791
187026,1,28,31.75,60.25,101.75,157.5,31.75,1,1,300000,1,1,San Francisco,California,37.77712,-122.41964
188026,1,27,33.0,64.0,108.0,167.5,33.0,1,2,300000,1,1,Waikoloa,Hawaii,19.92891,-155.78682
189026,1,27,34.75,63.25,104.75,160.5,104.75,1,1,700000,0,1,Safford,Arizona,32.83437,-109.70859
190028,1,29,34.75,63.25,104.75,160.5,34.75,1,1,300000,1,1,Shenandoah,Iowa,40.76593,-95.37561
191028,1,29,31.75,60.25,101.75,157.5,101.75,1,1,200000,1,1,Minneapolis,Minnesota,44.97902,-93.26494
192028,1,28,50.25,83.75,130.25,193.5,83.75,1,3,100000,0,1,Minneapolis,Minnesota,44.97902,-93.26494
193028,1,27,34.25,67.75,114.25,177.5,67.75,0,3,300000,1,1,Wenatchee,Washington,47.41473,-120.30512
194028,1,26,47.75,76.25,117.75,173.5,173.5,1,1,400000,1,1,Hollister,California,36.85253,-121.40326
195028,1,27,37.25,70.75,117.25,180.5,180.5,1,3,400000,1,1,Iola,Wisconsin,44.50771,-89.1309
196028,1,26,34.75,63.25,104.75,160.5,104.75,1,1,300000,1,1,Tucson,Arizona,32.22155,-110.96976
197028,1,27,28.5,59.5,103.5,163.0,163.0,1,2,300000,1,1,Riverside,California,33.98171,-117.37404
198028,1,27,34.25,67.75,114.25,177.5,67.75,1,3,100000,0,1,Clallam Bay,Washington,48.25371,-124.26015
199029,0,28,54.5,90.5,139.5,206.5,139.5,1,4,500000,1,1,Frontenac,Minnesota,44.52676,-92.33006
200030,1,29,49.0,80.0,124.0,183.5,80.0,1,2,900000,1,1,Salem,Oregon,44.93326,-123.04381
201030,1,26,33.0,64.0,108.0,167.5,108.0,1,2,200000,1,1,Pahrump,Nevada,36.21357,-115.99141
202030,1,26,50.75,79.25,120.75,176.5,120.75,1,1,100000,0,1,Nampa,Idaho,43.58263,-116.56962
203030,1,28,31.75,60.25,101.75,157.5,157.5,1,1,500000,0,1,Wenatchee,Washington,47.41473,-120.30512
204030,1,26,31.75,60.25,101.75,157.5,101.75,1,1,100000,1,1,Sidney,Nebraska,41.14486,-102.97614
205030,1,28,31.75,60.25,101.75,157.5,60.25,1,1,200000,1,1,Mankato,Minnesota,44.1674,-94.00241
206031,0,27,31.75,60.25,101.75,157.5,101.75,1,1,400000,1,1,San Jose,California,37.33865,-121.88542
207031,0,27,47.75,76.25,117.75,173.5,47.75,1,1,100000,1,1,Los Angeles,California,34.05349,-118.24532
208031,0,28,53.25,86.75,133.25,196.5,196.5,1,3,300000,1,1,Trail City,South Dakota,45.4723,-100.72754
209031,0,28,50.75,79.25,120.75,176.5,120.75,1,1,300000,1,1,Minneapolis,Minnesota,44.97902,-93.26494
210032,1,27,31.75,60.25,101.75,157.5,101.75,1,1,200000,0,1,Las Vegas,Nevada,36.17191,-115.13997
211032,1,26,52.0,83.0,127.0,186.5,52.0,1,2,100000,0,1,Dubuque,Iowa,42.49913,-90.66327
212032,1,27,34.75,63.25,104.75,160.5,63.25,1,1,200000,1,1,Melcher Dallas,Iowa,41.22625,-93.24269
213032,1,26,31.75,60.25,101.75,157.5,101.75,1,1,400000,1,1,Denver,Colorado,39.74001,-104.99202
214032,1,26,47.75,76.25,117.75,173.5,117.75,1,1,700000,0,1,Wenatchee,Washington,47.41473,-120.30512
215032,1,28,34.75,63.25,104.75,160.5,63.25,0,1,100000,0,1,Arapahoe,Wyoming,42.98301,-108.54147
216032,1,26,36.0,67.0,111.0,170.5,67.0,1,2,200000,1,1,Shenandoah,Iowa,40.76593,-95.37561
217032,1,28,34.25,67.75,114.25,177.5,114.25,1,3,300000,0,1,Bakersfield,California,35.36723,-119.01886
218032,1,27,34.75,63.25,104.75,160.5,63.25,1,1,100000,1,1,Hot Springs,Montana,47.60944,-114.66884
219032,1,28,29.75,63.25,109.75,173.0,173.0,1,3,200000,1,1,Nixon,Nevada,39.83337,-119.35803
220033,0,27,49.0,80.0,124.0,183.5,124.0,0,2,100000,1,1,Gallup,New Mexico,35.52784,-108.74356
221033,0,28,31.75,60.25,101.75,157.5,101.75,1,1,100000,1,1,Sidney,Nebraska,41.14486,-102.97614
222033,0,28,34.75,63.25,104.75,160.5,63.25,1,1,100000,1,1,Reed Point,Montana,45.70637,-109.54187
223033,0,36,57.2,97.2,152.2,227.2,227.2,1,4,100000,1,1,Young America,Minnesota,44.78362,-93.91502
224033,0,33,47.25,79.75,127.25,191.0,79.75,1,1,100000,1,1,Sacramento,California,38.57933,-121.4909
225033,0,31,55.95,93.45,145.95,217.2,217.2,1,3,200000,1,1,Ventura,California,34.28082,-119.29232
226033,0,32,37.45,69.95,117.45,181.2,181.2,1,1,300000,0,1,Kelseyville,California,38.97695,-122.83391
227033,0,36,37.45,69.95,117.45,181.2,37.45,0,1,200000,1,1,Davis Creek,California,41.73253,-120.3752
228033,0,33,40.45,72.95,120.45,184.2,120.45,1,1,100000,1,1,Wickenburg,Arizona,33.96856,-112.72961
229034,1,37,41.45,77.95,131.45,203.2,41.45,1,1,400000,1,1,San Diego,California,32.71568,-117.16171
230036,1,33,38.7,73.7,123.7,191.2,123.7,1,2,100000,0,1,Sacramento,California,38.57933,-121.4909
231037,0,37,42.7,81.7,137.7,213.2,81.7,1,2,200000,1,1,Mankato,Minnesota,44.1674,-94.00241
232037,0,31,34.7,65.7,109.7,169.2,169.2,1,2,200000,0,1,Los Angeles,California,34.05349,-118.24532
233037,0,36,42.7,81.7,137.7,213.2,81.7,1,2,200000,1,1,Las Vegas,Nevada,36.17191,-115.13997
